frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
253,0.932876,-0.293451,0.999193,0.028113,-3.354133,2.757026,0.999480,0.435666,76
254,0.125273,-0.120604,0.999922,0.018010,-3.228860,2.636423,0.999402,0.453675,187
255,-0.056947,0.399584,0.999912,-0.011653,-3.285807,3.036007,0.999314,0.442022,207
256,-0.245489,0.694369,0.999948,-0.032682,-3.531296,3.730376,0.999261,0.409340,198
257,0.269434,-0.308757,0.999902,0.030188,-3.261862,3.421619,0.999164,0.439528,227
258,0.182354,-0.437490,0.999744,0.045484,-3.079508,2.984129,0.998908,0.485012,195
259,0.024009,-0.130321,1.000413,0.025040,-3.055499,2.853808,0.999320,0.510053,205
260,0.239699,-0.108834,0.999898,0.013878,-2.815800,2.744974,0.999218,0.523931,183
261,0.111380,0.793004,0.999552,-0.071868,-2.704420,3.537978,0.998770,0.452063,138
262,-0.349627,-0.196120,1.000712,-0.037128,-3.054047,3.341858,0.999481,0.414935,154
263,-0.119257,0.216507,0.999911,0.008846,-3.173304,3.558365,0.999393,0.423781,181
264,0.399031,0.227362,0.999648,0.003829,-2.774273,3.785728,0.999041,0.427611,169
265,-0.886302,1.163402,1.000756,-0.101554,-3.660574,4.949129,0.999796,0.326057,133
266,-0.187950,0.886575,0.999878,-0.048324,-3.848524,5.835705,0.999674,0.277733,144
267,0.002932,-0.003271,0.999997,0.000269,-3.845592,5.832434,0.999671,0.278002,400
268,-0.225052,0.455830,0.999475,-0.049756,-4.070644,6.288264,0.999147,0.228246,59
269,0.067882,0.035133,0.999680,-0.006069,-4.002762,6.323398,0.998827,0.222177,119
270,-0.001205,-0.001357,1.000003,0.000379,-4.003966,6.322041,0.998830,0.222556,400
271,-0.147216,0.349183,0.999716,-0.027287,-4.151182,6.671223,0.998547,0.195269,53
272,-0.226714,0.557797,1.000189,-0.035017,-4.377896,7.229020,0.998735,0.160253,102
273,-0.244480,-0.073319,1.000300,0.009384,-4.622376,7.155702,0.999034,0.169637,126
274,-0.196773,0.049053,1.000298,0.008040,-4.819149,7.204755,0.999332,0.177677,141
275,-0.214980,0.135503,1.000242,0.007312,-5.034128,7.340257,0.999573,0.184990,123
276,0.902973,0.514636,0.999041,0.001700,-4.131155,7.854893,0.998615,0.186690,133
